,abv,ibu,style
1390,4.7,46.0,American Pale Wheat Ale
1391,5.800000000000001,40.0,American Stout
1392,6.5,115.0,American Amber / Red Ale
1397,5.6000000000000005,28.0,American Blonde Ale
1398,6.0,49.0,Extra Special / Strong Bitter (ESB)
1399,5.6000000000000005,18.0,Munich Helles Lager
1400,4.9,24.0,Märzen / Oktoberfest
1401,4.7,14.0,American Pale Wheat Ale
1403,5.0,35.0,German Pilsener
1404,5.2,21.0,Cream Ale
1407,5.2,21.0,American Blonde Ale
1408,7.000000000000001,70.0,American IPA
1418,5.3,10.0,American Blonde Ale
1419,5.3,14.0,American Pale Wheat Ale
1421,5.2,30.0,American Pilsner
1423,8.6,35.0,German Pilsener
